Year N3.m01 N3.m02 N3.m03 N3.m04 N3.m05 N3.m06 N3.m07 N3.m08 N3.m09 N3.m10 N3.m11 N3.m12
1910 -0.914 -0.979 -0.970 -1.155 -1.004 -0.650 -0.611 -0.896 -0.558 -0.599 -0.620 -0.515
1911 -0.499 -0.835 -0.778 -0.663 -0.213  0.130  0.352  0.559  0.721  0.985  1.256  1.548
1912  1.391  1.139  0.809  0.746  0.471  0.203 -0.159 -0.295 -0.146 -0.018  0.027 -0.035
1913  0.336  0.378 -0.047 -0.242 -0.153  0.103  0.276  0.383  0.474  0.609  0.827  1.058
1914  1.061  0.710  0.707  1.003  0.807  0.496  0.702  1.031  1.057  1.202  1.359  1.464
1915  1.509  1.496  1.468  1.344  1.323  1.216  1.067  0.569  0.249  0.117 -0.059 -0.317
1916 -0.529 -0.602 -0.583 -0.635 -0.825 -0.911 -0.930 -1.303 -1.209 -1.114 -1.213 -1.280
1917 -1.413 -1.187 -1.309 -0.617 -0.292  0.108  0.111 -0.178 -0.429 -0.770 -1.043 -1.099
1918 -1.100 -0.777 -0.295  0.103  0.564  0.841  1.063  1.173  1.415  1.761  1.933  1.797
1919  1.731  1.558  1.312  1.159  0.893  0.600  0.390  0.614  0.599  0.486  0.589  0.950
1920  1.107  1.144  0.949  0.965  1.020  0.743  0.282  0.163  0.142 -0.112 -0.144 -0.055
1921 -0.188 -0.571 -1.287 -0.561 -0.254 -0.121 -0.109 -0.186 -0.073 -0.088 -0.175 -0.336
1922 -0.425  0.216  0.349  0.214  0.182 -0.095 -0.617 -1.316 -0.948 -0.644 -0.545 -0.486
1923 -0.408 -0.207  0.022  0.329  0.677  0.759  0.566  0.849  0.770  0.578  0.946  1.035
1924  0.759  0.688  0.667  0.153 -0.504 -0.738 -0.773 -0.853 -0.837 -0.670 -0.798 -0.691
1925 -1.076 -0.449  0.132  0.471  0.315  0.572  0.834  0.920  0.904  0.823  1.438  1.619
1926  1.501  1.119  1.224  1.196  0.880  0.520  0.605  0.329 -0.117 -0.106  0.038 -0.006
1927 -0.058  0.495  0.155 -0.094  0.173  0.127 -0.305 -0.149  0.173  0.380  0.340  0.177
1928 -0.019 -0.050 -0.007  0.160  0.423  0.004  0.030  0.039  0.072 -0.184 -0.245 -0.187
1929 -0.283  0.094  0.082  0.354  0.358  0.412  0.305  0.451  0.562  0.531  0.783  0.544
1930  0.151  0.004  0.193  0.687  0.378  0.441  1.204  1.198  1.300  1.549  2.141  1.920
1931  1.941  1.567  1.207  1.126  0.715  0.237  0.005 -0.313 -0.604 -0.667 -0.602 -0.427
1932 -0.219  0.044  0.445  0.500  0.701  0.585  0.208 -0.090  0.026  0.011  0.081 -0.119
1933 -0.271  0.151  0.195  0.194 -0.293 -0.524 -0.562 -0.879 -0.839 -0.902 -1.060 -0.891
1934 -0.466 -0.431 -0.506  0.186  0.155  0.323  0.121  0.214  0.116 -0.134  0.094 -0.214
1935 -0.508 -0.567 -0.368 -0.240 -0.217 -0.102 -0.176  0.351  0.280  0.294  0.182  0.048
1936  0.310  0.303  0.030  0.217  0.138 -0.259 -0.151 -0.082  0.010  0.403  0.205  0.131
1937  0.117  0.155  0.231  0.456 -0.180 -0.353 -0.290 -0.410  0.018 -0.222 -0.261 -0.393
1938 -0.488 -0.471 -0.406 -0.323 -0.474 -0.828 -1.144 -0.887 -0.724 -0.612 -0.884 -0.805
1939 -0.768 -0.823 -0.605 -0.089  0.060  0.141  0.087  0.236 -0.001 -0.101  0.247  0.615
1940  0.934  1.164  1.633  1.513  1.354  0.937  0.766  0.657  0.551  0.560  0.988  1.371
1941  1.946  2.050  2.080  2.096  1.884  1.587  0.656  0.462  0.612  0.963  1.707  1.835
1942  0.914  0.399  0.195  0.292  0.109 -0.543 -0.915 -1.450 -1.467 -1.700 -1.705 -1.435
1943 -1.314 -1.302 -0.827 -0.365  0.373  0.380  0.268  0.019 -0.438 -0.413 -0.353 -0.401
1944 -0.544  0.199  0.006  0.031  0.179  0.328  0.175  0.068 -0.427 -0.467 -0.776 -0.587
1945 -0.627 -0.314 -0.432 -0.055  0.204  0.059 -0.372 -0.222 -0.192 -0.166 -0.116  0.045
1946 -0.065 -0.259 -0.448 -0.371 -0.147 -0.303 -0.202 -1.167 -0.535 -0.243  0.013 -0.036
1947  0.089  0.006  0.100  0.068  0.144  0.176  0.048 -0.254 -0.448 -0.425 -0.317 -0.125
1948 -0.186  0.262  0.428  0.135  0.133 -0.040 -0.356 -0.304 -0.520 -0.792 -0.337 -0.149
1949 -0.378  0.120 -0.416  0.371  0.296 -0.481 -0.813 -0.647 -0.926 -1.085 -1.514 -1.293
1950 -1.265 -1.399 -0.591 -0.657 -1.079 -0.561 -0.428 -0.351 -0.922 -0.664 -0.695 -0.461
1951 -0.201 -0.113 -0.081  0.129  0.349  0.653  0.944  0.954  0.877  0.937  1.058  0.783
1952  0.607  0.438  0.218  0.424  0.142 -0.265 -0.490 -0.279 -0.129 -0.075 -0.458 -0.229
1953  0.155  0.373  0.225  0.613  0.487  0.598  0.402  0.422  1.031  0.535  0.374  0.429
1954  0.204 -0.031 -0.121 -0.767 -0.767 -0.682 -0.775 -0.753 -0.944 -0.806 -0.581 -0.824
1955 -0.445 -0.394 -0.371 -0.405 -0.958 -0.812 -0.511 -0.521 -0.943 -1.260 -1.728 -1.362
1956 -0.878 -0.297 -0.336 -0.392 -0.257 -0.312 -0.387 -0.459 -0.527 -0.611 -0.921 -0.590
1957 -0.549  0.134  0.580  0.688  0.777  0.938  1.172  1.394  0.823  0.865  1.296  1.246
1958  1.455  1.123  0.604  0.387  0.560  0.331  0.228  0.156 -0.002 -0.021  0.147  0.166
1959 -0.010 -0.028 -0.102  0.356  0.362 -0.042 -0.392 -0.530 -0.256  0.050 -0.004 -0.040
1960  0.065 -0.123  0.226  0.056 -0.039 -0.289 -0.179  0.191  0.138 -0.523 -0.442 -0.351
1961 -0.346  0.123  0.027  0.530  0.348  0.633 -0.292 -0.647 -0.969 -0.677 -0.287 -0.089
1962 -0.235 -0.084 -0.432 -0.656 -0.465 -0.242 -0.155 -0.078 -0.409 -0.428 -0.600 -0.739
1963 -0.473 -0.328  0.060  0.288  0.453  0.591  0.957  1.028  0.902  1.026  0.813  1.148
1964  0.501  0.172 -0.368 -0.657 -1.066 -1.141 -0.843 -1.017 -0.800 -0.632 -0.818 -1.118
1965 -0.639 -0.199 -0.163  0.212  0.965  0.925  1.028  1.262  1.471  1.460  1.618  1.513
1966  1.334  0.780  0.223  0.240 -0.444  0.025  0.254 -0.146 -0.250 -0.109 -0.331 -0.488
1967 -0.291 -0.095 -0.287 -0.589 -0.210  0.104 -0.244 -0.759 -0.995 -0.920 -0.918 -0.871
1968 -1.018 -1.242 -1.086 -0.622 -0.575  0.093  0.595  0.433  0.362  0.300  0.562  0.692
1969  0.954  0.515  0.528  0.516  1.128  0.959  0.438  0.556  1.054  1.008  1.065  1.119
1970  1.108  0.645  0.309  0.245 -0.219 -0.760 -1.694 -1.713 -1.242 -1.113 -1.270 -1.647
1971 -1.531 -1.316 -1.174 -0.464 -0.675 -0.572 -0.373 -0.601 -0.573 -0.783 -0.849 -0.933
1972 -0.334 -0.199 -0.026  0.420  0.834  1.062  1.456  1.941  1.840  2.044  2.290  2.321
1973  1.636  1.265  0.786  0.103 -0.886 -0.963 -1.039 -1.400 -1.242 -1.425 -1.562 -1.525
1974 -1.395 -1.156 -0.442 -0.285  0.125  0.264 -0.091  0.078 -0.299 -0.224 -0.550 -0.407
1975 -0.198 -0.396 -0.400 -0.043 -0.449 -0.857 -0.813 -0.503 -0.842 -1.101 -1.128 -1.465
