1955  12  108.9
1956   1   74.6
1956   2   21.7
1956   3   50.2
1956   4   22.3
1956   5   33.8
1956   6   59.6
1956   7  116.3
1956   8  128.6
1956   9  119.4
1956  10   61.4
1956  11   48.0
1956  12  107.0
1957   1  105.7
1957   2   77.7
1957   3   93.0
1957   4   40.2
1957   5   52.1
1957   6   21.0
1957   7  115.4
1957   8   43.9
1957   9   86.8
1957  10  107.4
1957  11   17.9
1957  12   69.5
1958   1   95.6
1958   2   86.9
1958   3   39.5
1958   4   37.5
1958   5  101.2
1958   6   85.1
1958   7  100.2
1958   8  153.3
1958   9  101.0
1958  10   46.1
1958  11   51.6
1958  12   88.7
1959   1   53.3
1959   2   28.5
1959   3   55.7
1959   4   87.9
1959   5   45.6
1959   6   58.2
1959   7   65.5
1959   8   18.4
1959   9   36.1
1959  10  142.7
1959  11   81.4
1959  12  179.9
1960   1   84.7
1960   2   44.6
1960   3   42.0
1960   4   59.3
1960   5   68.9
1960   6   78.7
1960   7  145.4
1960   8  112.5
1960   9  130.1
1960  10   67.1
1960  11  151.7
1960  12  127.6
1961   1  132.4
1961   2   77.4
1961   3   13.4
1961   4  119.5
1961   5   57.9
1961   6   48.1
1961   7   97.8
1961   8   63.6
1961   9   95.4
1961  10   83.9
1961  11   58.3
1961  12   59.3
1962   1   87.1
1962   2   32.8
1962   3   54.8
1962   4   49.5
1962   5   68.6
1962   6   36.4
1962   7   52.8
1962   8  115.4
1962   9  147.2
1962  10   32.4
1962  11   76.9
1962  12   76.4
1963   1    9.3
1963   2   30.8
1963   3   84.6
1963   4   44.0
1963   5   56.7
1963   6   56.9
1963   7   62.5
1963   8   80.2
1963   9   51.1
1963  10  119.2
1963  11  115.1
1963  12   23.8
1964   1   43.6
1964   2   24.8
1964   3   76.3
1964   4   73.6
1964   5   70.3
1964   6   52.1
1964   7   72.8
1964   8  101.2
1964   9   48.1
1964  10   76.3
1964  11   57.7
1964  12  137.5
1965   1  111.3
1965   2    7.9
1965   3   89.6
1965   4   68.8
1965   5   90.2
1965   6   78.7
1965   7   94.4
1965   8   88.3
1965   9   68.2
1965  10   33.9
1965  11   82.8
1965  12  117.1
1966   1   72.0
1966   2   75.5
1966   3   42.9
1966   4   94.3
1966   5   77.8
1966   6  113.3
1966   7   44.4
1966   8   99.0
1966   9   68.5
1966  10  137.8
1966  11   45.4
1966  12   84.9
1967   1   61.6
1967   2   89.2
1967   3   38.3
1967   4   32.5
1967   5  115.8
1967   6   20.0
1967   7   35.4
1967   8   70.4
1967   9   92.5
1967  10  144.8
1967  11   64.5
1967  12   54.6
1968   1  106.1
1968   2   13.8
1968   3   62.5
1968   4   51.9
1968   5   73.8
1968   6   57.3
1968   7   24.6
1968   8   85.2
1968   9  109.8
1968  10   82.9
1968  11  102.4
1968  12  126.4
1969   1  104.4
1969   2   32.9
1969   3   41.1
1969   4   57.8
1969   5   46.8
1969   6   54.2
1969   7   31.7
1969   8   31.3
1969   9   25.8
1969  10   34.1
1969  11   83.5
1969  12   76.3
